AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRYGY25G090B185,m34_1,MRYGY24G080F395,male,2025,unknown,MRYGY25G0900341
MRYGY25G090B186,m4_1,MRYGY24G080C034,male,2025,unknown,MRYGY25G0900041
MRYGY25G090B187,m69_1,MRYGY24G080C576,male,2025,unknown,MRYGY25G0900691
MRYGY25G090B188,m39_2,MRYGY24G080C019,male,2025,unknown,MRYGY25G0900392
MRYGY25G090B189,m77_2,MRYGY24G080D719,male,2025,unknown,MRYGY25G0900772
MRYGY25G090B190,m66_2,MRYGY24G080E185,male,2025,unknown,MRYGY25G0900661
MRYGY25G090B191,m4_1,MRYGY24G080C034,male,2025,unknown,MRYGY25G0900041
MRYGY25G090B192,m48_2,MRYGY24G080E498,male,2025,unknown,MRYGY25G0900483
MRYGY25G090B193,m41_1,MRYGY24G080C737,male,2025,unknown,MRYGY25G0900412
MRYGY25G090B194,m10_1,MRYGY24G080F883,male,2025,unknown,MRYGY25G0900103
MRYGY25G090B195,m37_1,MRYGY24G080D757,male,2025,unknown,MRYGY25G0900371
MRYGY25G090B196,m48_2,MRYGY24G080E498,male,2025,unknown,MRYGY25G0900483
MRYGY25G090B197,m55_2,MRYGY24G080C832,male,2025,unknown,MRYGY25G0900551
MRYGY25G090B198,m49_1,MRYGY24G080C327,male,2025,unknown,MRYGY25G0900491
MRYGY25G090B199,m79_1,MRYGY24G080E184,male,2025,unknown,MRYGY25G0900792
MRYGY25G090B200,m68_2,MRYGY24G080D253,male,2025,unknown,MRYGY25G0900681
MRYGY25G090B201,m60_2,MRYGY24G080D176,male,2025,unknown,MRYGY25G0900601
MRYGY25G090B202,m55_2,MRYGY24G080D601,male,2025,unknown,MRYGY25G0900552
MRYGY25G090B203,m10_1,MRYGY24G080F883,male,2025,unknown,MRYGY25G0900103
MRYGY25G090B204,m75_1,MRYGY24G080C731,male,2025,unknown,MRYGY25G0900751
MRYGY25G090B205,m100_1,MRYGY24G080D586,male,2025,unknown,MRYGY25G0901002
MRYGY25G090B206,m26_2,MRYGY24G080C706,male,2025,unknown,MRYGY25G0900263
MRYGY25G090B207,m21_2,MRYGY24G080F681,male,2025,unknown,MRYGY25G0900211
MRYGY25G090B208,m69_1,MRYGY24G080C501,male,2025,unknown,MRYGY25G0900692
MRYGY25G090B209,m3_2,MRYGY24G080E285,male,2025,unknown,MRYGY25G0900033
MRYGY25G090B210,m40_2,MRYGY24G080C408,male,2025,unknown,MRYGY25G0900401
